"From the Fun Holidays API, 45 holidays are in Jan"
"From the Fun Holidays API, 39 holidays are in Feb"
"From the Fun Holidays API, 37 holidays are in Mar"
"From the Fun Holidays API, 33 holidays are in Apr"
"From the Fun Holidays API, 34 holidays are in May"
"From the Fun Holidays API, 33 holidays are in Jun"
"From the Fun Holidays API, 38 holidays are in Jul"
"From the Fun Holidays API, 33 holidays are in Aug"
"From the Fun Holidays API, 37 holidays are in Sep"
"From the Fun Holidays API, 35 holidays are in Oct"
"From the Fun Holidays API, 35 holidays are in Nov"
"From the Fun Holidays API, 33 holidays are in Dec"
